"subject_id","new_key","nhdid","filename","filename_2","county","lakename","LONG_DD","LAT_DD","lake_area_ha","max_depth_m","mean_depth_m","url_1","url_2"
72990202,"75-371",44364544,"SCHOOLCRAFT_CRESCENT_MNGM_0002_1.jpeg","SCHOOLCRAFT_CRESCENT_MNGM_0002_2.jpeg","SCHOOLCRAFT","CRESCENT ",-85.87371,46.18777,NA,4.57,1.89,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CRESCENT_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CRESCENT_MNGM_0002_2.jpeg"
72990203,"75-425",44364718,"SCHOOLCRAFT_CROOKED_MNGM_0003_1.jpeg","SCHOOLCRAFT_CROOKED_MNGM_0003_2.jpeg","SCHOOLCRAFT","CROOKED ",-86.41954,46.21304,77.48,7.32,3.99,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CROOKED_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CROOKED_MNGM_0003_2.jpeg"
72990204,"75-1079",44362040,"SCHOOLCRAFT_CUSINO_MNGM_0003_1.jpeg","SCHOOLCRAFT_CUSINO_MNGM_0003_2.jpeg","SCHOOLCRAFT","CUSINO ",-86.25899,46.45582,54.79,9.45,2.61,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CUSINO_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_CUSINO_MNGM_0003_2.jpeg"
72990206,"75-535",44365372,"SCHOOLCRAFT_DINNER_MNGM_0002_1.jpeg","SCHOOLCRAFT_DINNER_MNGM_0002_2.jpeg","SCHOOLCRAFT","DINNER ",-86.56982,46.18249,3.11,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DINNER_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DINNER_MNGM_0002_2.jpeg"
72990207,"75-297",44365904,"SCHOOLCRAFT_DODGE_MNGM_0003_1.jpeg","SCHOOLCRAFT_DODGE_MNGM_0003_2.jpeg","SCHOOLCRAFT","DODGE ",-86.26843,46.11332,76.36,18.6,5.34,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DODGE_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DODGE_MNGM_0003_2.jpeg"
72990208,"75-1017",44361938,"SCHOOLCRAFT_DRIGGS_MNGM_0003_1.jpeg","SCHOOLCRAFT_DRIGGS_MNGM_0003_2.jpeg","SCHOOLCRAFT","DRIGGS ",-86.17843,46.45721,66.08,8.23,2.5,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DRIGGS_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DRIGGS_MNGM_0003_2.jpeg"
72990209,"75-927",44361734,"SCHOOLCRAFT_DUTCHFRED_MNGM_0002_1.jpeg","SCHOOLCRAFT_DUTCHFRED_MNGM_0002_2.jpeg","SCHOOLCRAFT","DUTCHFRED ",-85.9776,46.47193,13.49,13.72,6.1,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DUTCHFRED_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DUTCHFRED_MNGM_0002_2.jpeg"
72990210,"75-927",44361734,"SCHOOLCRAFT_DUTCHFRED_MNGM_0003_1.jpeg","SCHOOLCRAFT_DUTCHFRED_MNGM_0003_2.jpeg","SCHOOLCRAFT","DUTCHFRED ",-85.9776,46.47193,13.49,13.72,6.1,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DUTCHFRED_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_DUTCHFRED_MNGM_0003_2.jpeg"
72990211,"75-345",44366070,"SCHOOLCRAFT_EAGLE_MNGM_0003_1.jpeg","SCHOOLCRAFT_EAGLE_MNGM_0003_2.jpeg","SCHOOLCRAFT","EAGLE ",-86.43899,46.11832,2.85,4.57,1.85,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_EAGLE_MNGM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_EAGLE_MNGM_0003_2.jpeg"
72990212,"75-440",44365254,"SCHOOLCRAFT_EAST_MNGM_0001_1.jpeg","SCHOOLCRAFT_EAST_MNGM_0001_2.jpeg","SCHOOLCRAFT"," EAST",-86.41093,46.17915,20.13,7.93,3.22,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_EAST_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/SCHOOLCRAFT_EAST_MNGM_0001_2.jpeg"
